text,label,reasoning
"""My first attempt at a smokey eye. Feedback appreciated!""",showcase,
"""My makeup after a 10-hour shift. Surprisingly the blush survived.""",showcase,
"""Recently picked up the Patrick Ta cream and powder duo blush on a whim and I'm honestly shocked. It's been like 3 weeks and zero breakouts, another plus is that it blends super easily. I'm also really oily and it stays on all day (which is rare for me lol)! Anyone else with acne prone skin found blushes that work for them? I'm curious if this is just me getting lucky or if others have good experiences with it too!""",showcase,the main point is the author's personal discovery
"""Sooo super impressed with how my makeup looks by the end of the day, I put it on at 7am and get home after 4pm! Not to mention in the Texas heat. I still feel beautiful even at the end of the day!! I think I've found my perfect routine for my skin type. I have normal/combo skin type, oily nose and the area around my nose gets oily, dry under eyes. The only thing I reapply is my lip liner and lip balm throughout the day!
  ‚Ä¢Skin- good light order of the eclipse moisturizer
  ‚Ä¢base- loreal le glow tint in cool mixed with elf halo glow skin tint in fair neutral
  ‚Ä¢concealer- Milani conceal + perfect in ivory
  ‚Ä¢powder- airspun translucent loose powder
  ‚Ä¢eyebrows- loreal clear brow lamination gel
  ‚Ä¢blush- benefit blush shades dandelion and winner mixed together
  ‚Ä¢contour- ABH contour stick lightest shade
  ‚Ä¢highlight- wet n wild mega glow highlight in blossom
  ‚Ä¢setting spray- elf setting spray in green bottle
  ‚Ä¢lashes- mavphnee anime lash clusters on Amazon
  ‚Ä¢mascara- milani highly rated mascara
  ‚Ä¢lower lash line has brown eyeshadow
  ‚Ä¢lips- Charlotte tilbury pillow talk lip liner with Burt's bees red dhalia on top""",showcase,
"""Tried a different makeup tech technique. My attempt at cutemaxxing. Product listüéÄü§ç
  Elf primer
  LA girl concealer: Chestnut and beige
  Sachue contour stain: 08 giving fierce
  Athena face painting, palette
  Eyemoody contact lenses
  James Charles palette
  Went in wild setting powder
  Anime manga lashes from Amazon
  Stay glossy lip gloss 340
  Sephora brand mascara
  Roma's lipgloss tint: peeling angdoo""",showcase,
"""Tried recreating a look I saw on Pinterest last night.""",showcase,
"""I kept buying because nothing was you know ""working"" so i figured i just hadnt found the right product yet. New serum every month new foundation every few weeks. Turns out the products i already had were fine i was just layering them wrong and some of them were literally conflicting with each other. I didnt have a product problem i had a knowledge problem and i spent $3,200 learning that. Anyone else have just like a spending wake up call i would say that completely changed how they buy beauty stuff?""",showcase,"The post's primary purpose is sharing a personal learning journey and discovery. The question at the end invites others to relate, but it's secondary to the personal story."
"""I finally found Charlotte Tilbury after months of searching""",showcase,
"""I use tubing mascara for this look and I love it""",showcase,
"""Here’s today’s makeup look. Any suggestions for improvement?""",showcase,
"""Finally hit pan on my favorite bronzer!""",showcase,
"""Tried a soft glam look for brunch today and I’m actually happy with how it turned out""",showcase,
"""I usually stay away from bottom lash mascara but today I tried it and it actually looks good""",showcase,
“Sooo impressed with how my makeup looks by the end of the day. I put it on at 7am and still feel beautiful after 9 hours.”,showcase,
"“My makeup after a 10-hour shift. Surprisingly the blush survived.""",showcase,
“Tried recreating a look I saw on Pinterest last night.”,showcase,
“Tested a full face of drugstore products. Here’s the result.”,showcase,
“First time trying a cut crease and I’m actually proud of how it came out!”,showcase,
“Switched to a gel moisturiser and the difference in my makeup application is insane.”,showcase,
"“I just tried this blush and wow, the color is so perfect for my skin tone.”",showcase,
"“After searching for months, I finally found a lipstick that doesn’t dry out my lips.” ",showcase,
“Tried a different makeup technique today and I’m shocked at how well it worked.”,showcase,
“Used the same routine for 6 months and my makeup has never looked more consistent.”,showcase,
“Attempted a douyin-inspired look and I’m pretty happy with the result!”,showcase,
"""Here's my nightout makeup""",showcase,
"""I'm obsessed with the look today, especially the eyeliner from MAC makes everything elevated""",showcase,
"""the result of this Judy Doll palette I'm using today is undeniable""",showcase,
"""my cheering layout: - Mascara They're Real Magnet by Benefit
- Highlighter by Benefit in the shade Cookie
- Coca Cola x Bruna Tavares collab Lip Gloss in the shade Brown Fizz
Are you people cheering for your countries in the World Cup? It's such a good excuse to do something a bit unconventional and use colors! I tend to be pretty basic daily, so I love to do something different!""",showcase,
"""Do you ever do a full face just to go to the dentist? 💀 I'm back with more colourful makeup this time! I was inspired by my butterfly clips. I used the same blush technique as last time with a mix of pink and purple blush. I really want to get the new Marc Jacobs eyeliner pencil in yellow, so for now I tried to recreate it by using white pencil and topping it off yellow shadow. Products:
Glossier skin tint in G7, Haus Labs concealer in shade 30 Medium Peach, MAC lip pencil in Stone, KVD lipstick in Lovecraft""",showcase,
"""My every day makeup:
Primer: Smashbox Photo Finish Mattifying Primer 
Foundation: Estée Lauder Double Wear 4N1 Shell Beige
Brow Gel: NYX The Brow Glue (Clear)""",showcase,
"""I used to be a heavy makeup kind of girl, and wanting to lean into more subtle makeup. This is my day to day makeup look I’ve been trialling""",showcase,
"""sharing my everyday makeup for the past two years, and I absolutely love it. """,showcase,
"""My everyday makeup look! What do you think?""",showcase,
"""anyways just thought I’d share my make up. Thank you. <3
primer: elf hydrating face primer
concealer: KVD good apple in tan 167 
foundation: Tir Tir cushion foundation in 34W toffee
bronzer: benefit hoola, caramel
blush: ulta beauty lip and cheek, too cheeky""",showcase,
